strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.2245410758062716,0.580663477652567,0.4982961611862496,0.5966316678817615,0.4492508288960222,0.1473808389857392,0.1463233892932717,0.0702888528258298,1.6241258344793756,0.2156218884016747,75.24902164961146,0.0139686440117657,0.0081006804946809,0.0247597477398812,0.1086060188710689,0.0233031241223216,0.0241714468225836,
baseline_3views,0.1142845307714374,0.7548245547078188,0.7031304463079048,0.6925841263298854,0.60869498380759,0.0838891425222953,0.0759258971366998,0.0414315265489105,1.2960999177352028,0.204673785345613,74.20087305323156,0.006544515909627,0.0035541708581149,0.0111868237145244,0.0632699228823184,0.0116246404126286,0.010910925315693,
baseline_4views,0.1434524201377384,0.6964617838005693,0.7323519547529157,0.6516146025500034,0.6315484056961101,0.0200661968538932,0.102172422831818,0.0526512989051773,1.8542631079812733,0.1855299995776919,77.8976515209537,0.0103576152585446,0.0045922865858301,0.0184703105129301,0.059031456708908,0.0232038665097206,0.0174571457318961,
strategy1_2views,0.2307550464025002,0.5040224161724366,0.4322394665775387,0.5191446345965713,0.3948823497877002,0.1242622848088711,0.1494748190599888,0.0724910395077561,1.9238708148990296,0.2156218884016747,75.24902164961146,0.0096896894741803,0.0076085516251623,0.019539722893387,0.1051517117768526,0.0277162690646946,0.0166903120465576,0.0062139705962286
strategy1_3views,0.1196496435154787,0.5699274517679032,0.5269774851103134,0.5329454072974071,0.4799289237621365,0.0530164835352706,0.085688074776662,0.0513983791061409,2.1184467307708497,0.204673785345613,74.20087305323156,0.0083761531393975,0.0038447854109108,0.0139143180102109,0.0653238676488399,0.0277965230867266,0.0140625067055225,0.0053651127440412
strategy1_4views,0.1514743914543385,0.5105959550089841,0.5241066401134348,0.5108817182704085,0.4811739617770142,0.0297077564933943,0.1257004176363252,0.0841354727314885,2.617699727617954,0.1855299995776919,77.8976515209537,0.0106654368340968,0.0047363040037453,0.0188676954247057,0.0591576498001813,0.0395123744383454,0.0180258534848689,0.0080219713166001
strategy2_2views,0.2301296088367679,0.507491328203556,0.4328891583461379,0.5348847026467611,0.390816534350184,0.1440681682965771,0.1488841307968178,0.0728802112011757,1.91322970055746,0.2156218884016747,75.24902164961146,0.0084878443740308,0.0075756037840619,0.0177305587567388,0.1055566608905792,0.0290605438873171,0.0144403320737183,0.0055885330304962
strategy2_3views,0.1193092819392847,0.5758059380422168,0.5340448737576008,0.5341141251851717,0.4871868556739495,0.0469272695112222,0.0863502418650141,0.0523962343659612,2.1220986714449173,0.204673785345613,74.20087305323156,0.0064676138106733,0.0035644230432808,0.0111127012409269,0.0631898079067468,0.019776811543852,0.0108319412916898,0.0050247511678473
strategy2_4views,0.1520310663499512,0.5139439439042998,0.5229036225452546,0.507207884389911,0.4793893430466679,0.027818541343243,0.1267251755425058,0.0869066941283538,2.6135192941752026,0.1855299995776919,77.8976515209537,0.0084877171553671,0.0044159857090562,0.0161035077646374,0.0582334671169519,0.0328124253079295,0.0143994575366377,0.0085786462122128
strategy3_2views,0.230750756797315,0.4882202370882669,0.4193534036271408,0.5102819820768235,0.3787176389594494,0.131564343117374,0.150815987310077,0.0727306141898607,1.8827875583555589,0.2156218884016747,75.24902164961146,0.0152599280700087,0.0067995713790878,0.0226938413456082,0.1078207086771726,0.0478923507034778,0.0254634466022252,0.0062096809910433
strategy3_3views,0.1191289462473053,0.583726941493922,0.5399253556049693,0.5442724172079333,0.4937224343385997,0.0505499828693335,0.0850962416173513,0.0515117860776014,2.083947475252914,0.204673785345613,74.20087305323156,0.010226872190833,0.0032805646769702,0.0143053163774311,0.0652496516704559,0.0367106592282652,0.0167741137556731,0.0048444154758678
strategy3_4views,0.1506789293818379,0.5224754775001109,0.5400363641273519,0.5279396871949862,0.4835752065398893,0.0443644806550969,0.120214920498005,0.0771302464614366,2.577784896170636,0.1855299995776919,77.8976515209537,0.0117005161009728,0.0038116014795377,0.0180368993431329,0.0589130721986293,0.0456222568638622,0.019330012705177,0.0072265092440995
