strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.1679656338283136,3.8398829883460737,2.7138837510309557,128.13051365934885,0.7168228665473839,464.7720480297617,,0.0790033919243468,0.0637279199875338
baseline_3views,0.1541073990496379,4.027675907022329,3.342992276210472,130.12179908393597,0.6973287391817831,457.9488337851555,,0.0788706814063086,0.0898402269197891
baseline_4views,0.1519794516157349,3.886298327170126,4.056246667581001,134.85607174176826,0.701401446188838,457.4301014135846,,0.0728315345045396,0.1097911615028587
strategy1_2views,0.2967629020585461,2.0504049421895205,1.8748762147094191,31.246692006708404,0.7168228665473839,464.7720480297617,0.1287972682302323,0.0461765097425033,0.0323566121120739
strategy1_3views,0.2721302918837789,2.0626038316389144,2.3094174416445212,32.41874223132772,0.6973287391817831,457.9488337851555,0.1180228928341409,0.0493432718418605,0.0498818266788758
strategy1_4views,0.2667255993826558,1.9291429678263912,2.236289842326282,33.440278342418075,0.701401446188838,457.4301014135846,0.1147461477669208,0.0499238134714006,0.0568250106832317
strategy2_2views,0.33177123198754,2.140812958068282,1.9344266644788553,32.42398129790555,0.7168228665473839,464.7720480297617,0.1638055981592263,0.0419427971872875,0.0303475031228479
strategy2_3views,0.2899004839319372,2.0916589839085824,2.3086096723542915,31.977866069845792,0.6973287391817831,457.9488337851555,0.1357930848822992,0.0488096276586363,0.0492207187081722
strategy2_4views,0.2850332198415024,1.9735491940389709,2.3239098966510743,32.94902546078976,0.701401446188838,457.4301014135846,0.1330537682257675,0.0480537661451997,0.0541133170151318
strategy3_2views,0.3553268027758433,2.2107352441694577,1.9412563743038824,29.438221859671565,0.7168228665473839,464.7720480297617,0.1873611689475296,0.0437515065674163,0.0250906763586615
strategy3_3views,0.310895495652351,2.1047672555532753,2.298404922143789,30.050431807231508,0.6973287391817831,457.9488337851555,0.156788096602713,0.0499050654471234,0.048680861630969
strategy3_4views,0.3249663473827243,2.0279360412537444,2.3293500451127462,30.07672853892815,0.701401446188838,457.4301014135846,0.1729868957669894,0.0506384551844585,0.0524517714865827
